idNum,apply_pdl_7,apply_int_7,apply_sum_7,reject_pdl_7,reject_int_7,reject_sum_7,approve_pdl_7,approve_int_7,approve_sum_7,overdue_pdl_7,overdue_int_7,overdue_sum_7,loanamount_pdl_7,loanamount_int_7,loanamount_sum_7,maxOverdue_pdl_7,maxOverdue_int_7,maxOverdue_sum_7,apply_pdl_14,apply_int_14,apply_sum_14,reject_pdl_14,reject_int_14,reject_sum_14,approve_pdl_14,approve_int_14,approve_sum_14,overdue_pdl_14,overdue_int_14,overdue_sum_14,loanamount_pdl_14,loanamount_int_14,loanamount_sum_14,maxOverdue_pdl_14,maxOverdue_int_14,maxOverdue_sum_14,apply_pdl_30,apply_int_30,apply_sum_30,reject_pdl_30,reject_int_30,reject_sum_30,approve_pdl_30,approve_int_30,approve_sum_30,overdue_pdl_30,overdue_int_30,overdue_sum_30,loanamount_pdl_30,loanamount_int_30,loanamount_sum_30,maxOverdue_pdl_30,maxOverdue_int_30,maxOverdue_sum_30,apply_pdl_60,apply_int_60,apply_sum_60,reject_pdl_60,reject_int_60,reject_sum_60,approve_pdl_60,approve_int_60,approve_sum_60,overdue_pdl_60,overdue_int_60,overdue_sum_60,loanamount_pdl_60,loanamount_int_60,loanamount_sum_60,maxOverdue_pdl_60,maxOverdue_int_60,maxOverdue_sum_60,apply_pdl_90,apply_int_90,apply_sum_90,reject_pdl_90,reject_int_90,reject_sum_90,approve_pdl_90,approve_int_90,approve_sum_90,overdue_pdl_90,overdue_int_90,overdue_sum_90,loanamount_pdl_90,loanamount_int_90,loanamount_sum_90,maxOverdue_pdl_90,maxOverdue_int_90,maxOverdue_sum_90,apply_pdl_180,apply_int_180,apply_sum_180,reject_pdl_180,reject_int_180,reject_sum_180,approve_pdl_180,approve_int_180,approve_sum_180,overdue_pdl_180,overdue_int_180,overdue_sum_180,loanamount_pdl_180,loanamount_int_180,loanamount_sum_180,maxOverdue_pdl_180,maxOverdue_int_180,maxOverdue_sum_180,apply_pdl_all,apply_int_all,apply_sum_all,reject_pdl_all,reject_int_all,reject_sum_all,approve_pdl_all,approve_int_all,approve_sum_all,overdue_pdl_all,overdue_int_all,overdue_sum_all,loanamount_pdl_all,loanamount_int_all,loanamount_sum_all,maxOverdue_pdl_all,maxOverdue_int_all,maxOverdue_sum_all
c6c0b2b5b53c1cbaf535f7b16531c6dd,0,2,2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,2,2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,2,2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,2,2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,4,4,0,4,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,4,4,0,4,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,5,5,0,5,5,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
25b8d686c92b34f41cce8874b07f2f4b,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,2,3,1,2,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
83d3d7ce60764d76258ffc416e2c7c29,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,3,5,0,3,3,2,0,2,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,3,3,6,1,3,4,2,0,2,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,4,3,7,1,3,4,3,0,3,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,5,3,8,1,3,4,4,0,4,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,5,4,9,1,4,5,4,0,4,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
2ce17022cc4e8e4f0aa3277c26dcac88,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,3,4,1,3,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,5,6,1,5,6,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,10,11,1,10,11,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
35e88e2d85e38719af94f72a101b84a6,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,2,2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
f66787995f2935d3d2fd47d0552f7e77,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,3,3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
d5f1f3b92365a232abf4e30e6dffeec4,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,1,1,2,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,4,3,7,4,3,7,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,4,3,7,4,3,7,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999
12674f3bb0706e3026b5c0aee78c5bea,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-3,-3,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,0,0,0,3,3,0,2,2,0,1,1,0,0,0,0.0,5000.0,5000.0,-99999,0,0,0,3,3,0,2,2,0,1,1,0,0,0,0.0,5000.0,5000.0,-99999,0,0
5bfd3d619be109862eb3d1731f677ae8,0,4,4,0,4,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,4,4,0,4,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,4,4,0,4,4,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,2,4,6,2,4,6,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,8,4,12,7,4,11,1,0,1,1,0,1,900.0,0.0,900.0,67,-99999,67,13,4,17,9,4,13,4,0,4,1,0,1,3900.0,0.0,3900.0,67,-99999,67,22,4,26,15,4,19,7,0,7,1,0,1,3900.0,0.0,3900.0,67,-99999,67
15baf0ad6ec442652cc97ee801e89894,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,-99999,-99999,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,-99999,0,0,0,3,3,0,1,1,0,2,2,0,0,0,0.0,11000.0,11000.0,-99999,0,0,0,3,3,0,1,1,0,2,2,0,0,0,0.0,11000.0,11000.0,-99999,0,0
